composition,critical_temperature_tc
Bi1Ca1Sr1Cu2Oz,75.0
Bi1Ca1Sr1Cu2Oz,70.0
Y1Ba2Cu3O7,91.3
Ho1Ba2Cu3O7,92.1
Sm1Ba2Cu3O7,92.6
Ho1Ba2Cu3O7,92.1
Y1Ba2Cu3O7-Z,88.1
Eu1Ba2Cu3OX,94.0
Y1Ba2Cu3O6.8,79.0
Nd1Ba2Cu3OX,82.5
Bi1Sr1Ca1Cu2OX,105.0
La1.8Sr0.2Cu1O4,35.7
Y1.2Ba0.8Cu1O4,75.0
Gd1Ba2Cu2.82Fe0.18O9-Z,42.0
Y1.2Ba0.8Cu1O4-X,94.5
Er1Ba2Cu3O7-Z,90.0
Er0.75Yb0.25Ba2Cu3O7-Z,87.6
Er0.62Yb0.38Ba2Cu3O7-Z,88.3
Er0.5Yb0.5Ba2Cu3O7-Z,89.3
Er0.37Yb0.63Ba2Cu3O7-Z,87.8
Er0.25Yb0.75Ba2Cu3O7-Z,86.3
Yb1Ba2Cu3O7-Z,88.5
Y1Ba2Cu2.9Fe0.1OX,90.0
Y1Ba2Cu2.8Fe0.2OX,66.0
Y1Ba2Cu2.7Fe0.3OX,44.0
Y1Ba2Cu2.6Fe0.4OX,22.0
Y1Ba2Cu2.9Ni0.1OX,80.0
Y1Ba2Cu2.8Ni0.2OX,73.0
Y1Ba2Cu2.9Co0.1OX,88.0
Y1Ba2Cu2.7Co0.3OX,50.0
Y1Ba2Cu2.6Co0.4OX,15.0
Y1Ba2Cu2.9Zn0.1OX,58.0
Y1Ba2Cu2.8Zn0.2OX,50.0
Dy1Ba2Cu3OX,91.2
Y1Ba2Cu3OX,90.8
Y1Ba2Cu3OX,91.5
La1.85Sr0.15Cu1O4,40.0
Y1Ba2Cu3O7-Z,92.0
Y1Ba2Cu2.94Ga0.06O7-Z,87.0
Y1Ba2Cu2.85Ga0.15O7-Z,75.0
Y1Ba2Cu2.7Ga0.3O7-Z,66.0
Y1Ba2Cu3O6.98,92.0
Y1Ba2Cu2.88Fe0.12O7-Z,70.0
Gd1Ba2Cu3O7-Z,94.7
Eu1Ba2Cu3O7-Z,94.5
Bi1Sr1Cu1OX,6.5
Nd1Ba2Cu3OX,90.0
Nd1.2Ba1.8Cu3OX,60.0
Nd1.08Ba1.92Cu3OX,86.0
Nd1.32Ba1.68Cu3OX,20.0
Y1Ba2Cu2.97Mo0.03OX,76.0
Y1Ba2Cu2.94Mo0.06OX,63.0
Y1Ba2Cu2.895Mo0.105OX,52.5
Y1Ba2Cu2.85Mo0.15OX,50.0
Y1Ba2Cu2.97Zn0.03OX,79.0
Y1Ba2Cu2.94Zn0.06OX,62.0
Y1Ba2Cu2.895Zn0.105OX,52.0
Y1Ba2Cu2.85Zn0.15OX,38.0
Y1Ba2Cu2.97Al0.03OX,81.0
Y1Ba2Cu2.94Al0.06OX,58.0
Y1Ba2Cu2.885Al0.105OX,42.0
Y1Ba2Cu2.85Al0.15OX,33.0
Y1Ba1.95La0.05Cu3OX,91.0
Y1Ba1.85La0.15Cu3OX,88.0
Y1Ba1.75La0.25Cu3OX,76.0
Y1Ba1.65La0.35Cu3OX,64.0
Y1Ba2Cu3O7-Z,92.5
Nd1Ba2Cu3O7-Z,67.0
Sm1Ba2Cu3O7-Z,76.0
Eu1Ba2Cu3O7-Z,92.0
Gd1Ba2Cu3O7-Z,86.0
Dy1Ba2Cu3O7-Z,92.0
Ho1Ba2Cu3O7-Z,91.0
Er1Ba2Cu3O7-Z,91.0
Tm1Ba2Cu3O7-Z,92.0
Yb1Ba2Cu3O7-Z,91.0
Y1Ba2Cu3HO7-X,90.0
Y1Ba2Cu3HO7-X,43.05
Y1Ba2Cu3O7-X,92.0
Y1Ba2Cu3O7-X,92.0
Gd1Ba2Cu3O7-Z,93.0
Dy1Ba2Cu3O7-Z,94.0
Sm1Ba2Cu3O7-Z,92.0
Ho1Ba2Cu3O7-Z,93.5
Y1Ba2Cu3O7-Z,93.5
Nd1Ba2Cu3O7,88.0
Nd1Ba2Cu3S1O6,69.0
Nd1Ba2Cu3S1O5,56.0
Eu1Ba2Cu3O7,92.0
Eu1Ba2Cu3S1O6,85.0
Gd1Ba2Cu3O7,92.0
Gd1Ba2Cu3S1O6,92.0
Y1Ba2Cu3O6.89,92.0
Y1Ba2Cu3S0.03O7.12,90.0
Y1Ba2Cu3S0.06O7.23,89.0
Y1Ba2Cu3S0.12O7.28,89.0
Y1Ba2Cu3OY,91.9
Y1Ba2Cu2.975Zn0.025OY,82.8
Y1Ba2Cu2.95Zn0.05OY,74.7
Y1Ba2Cu2.925Zn0.075OY,64.9
Y1Ba2Cu2.9Zn0.1OY,57.6
Y1Ba2Cu2.85Zn0.15OY,56.0
Y1Ba2Cu2.8Zn0.2OY,56.5
Y1Ba2Cu2.7Zn0.3OY,47.6
Gd1Ba2Cu3O6.9,92.0
Gd1Ba2Cu2.7Fe0.3O6.9,41.0
Gd1Ba2Cu2.7Co0.3O6.9,33.0
Y1Ba2Cu3O6.9,91.0
Bi2.2Sr2Ca0.8Cu2O8+Z,87.0
Y1Ba2Cu2.5Ni0.5O7,52.3
La2.8Ba3.2Cu6O14.07,13.0
La2.6Ba3.4Cu6O14.06,26.0
La2.4Ba3.6Cu6O14.01,39.0
La2.2Ba3.8Cu6O13.86,52.0
La2Ba4Cu6O13.8,65.0
Y1La2Ba3Cu6O14.53,25.6
Y1La1.8Ba3.2Cu6O14.49,41.9
Y1La1.6Ba3.4Cu6O14.38,53.1
Y1La1.4Ba3.6Cu6O14.2,64.0
Y1La1.2Ba3.8Cu6O14.07,70.4
Y1La1Ba4Cu6O13.95,72.2
Y2La1Ba3Cu6O14.17,28.0
Y2La0.8Ba3.2Cu6O14.2,46.0
Y2La0.6Ba3.4Cu6O14.02,60.0
Y2La0.4Ba3.6Cu6O13.91,78.0
Y2La0.2Ba3.8Cu6O13.92,93.0
Y2La0.15Ba3.85Cu6O13.99,93.2
Y2La0.1Ba3.9Cu6O13.94,90.0
Y2Ba4Cu6O13.9,93.0
Y1Ba2Cu3O6.94,97.0
Y1Ba1.975La0.025Cu3O6.95,99.0
Y1Ba1.95La0.05Cu3O6.9,99.0
Y1Ba1.925La0.075Cu3O6.9,99.0
Y1Ba1.9La0.1Cu3O6.9,95.0
Y1Ba1.8La0.2Cu3O6.95,78.0
Y1Ba1.7La0.3Cu3O7,67.0
Y1Ba1.6La0.4Cu3O7.05,52.0
Y1Ba1.5La0.5Cu3O7.08,38.0
Gd1Ba2Cu3OX,89.0
Gd1Ba2Cu2.925Fe0.075OX,64.0
Gd1Ba2Cu2.85Fe0.15OX,47.0
Gd1Ba2Cu2.775Fe0.225OX,33.0
Gd1Ba2Cu2.7Fe0.3OX,11.0
Y1Ba2Cu3OX,92.0
Y1Ba2Cu3OX,93.0
Y1Ba2Cu3OX,91.6
La1Ba2Cu3OX,34.5
La1Ba1.75Ca0.25Cu3OX,71.7
La1Ba1.25Ca0.75Cu3OX,78.2
La1Ba1Ca1Cu3OX,80.0
La1Ba0.5Ca1.5Cu3OX,36.7
Y1Ba2Cu2.8Co0.2O7.04,53.0
Bi2Sr2Ca2Cu3O,111.0
Bi2Sr2Ca1Cu2O,87.0
Y1Ba2Cu3O7,92.0
Y1Ba2Cu2.97Co0.03O6.96,92.0
Y1Ba2Cu2.925Co0.075O6.97,92.0
Y1Ba2Cu2.85Co0.15O7.03,65.0
Y1Ba2Cu2.775Co0.225O6.99,58.0
Y1Ba2Cu2.7Co0.3O7.11,36.0
Y1Ba2Cu2.94Ni0.06O7.01,85.0
Y1Ba2Cu2.85Ni0.15O6.84,75.0
Y1Ba2Cu2.7Ni0.3O6.88,73.0
Y1Ba2Cu2.4Ni0.6O6.94,66.0
La1.94Sr0.06Cu1O3.995,6.5
La1.92Sr0.08Cu1O3.994,20.3
La1.89Sr0.11Cu1O3.986,29.2
La1.855Sr0.145Cu1O4,34.9
La1.85Sr0.15Cu1O4,35.2
La1.815Sr0.185Cu1O3.964,33.2
La1.78Sr0.22Cu1O3.945,34.8
La1.75Sr0.25Cu1O3.921,19.6
La1.73Sr0.27Cu1O3.913,30.6
La1Ba2Cu2.9O6.8,45.0
La1.2Ba1.8Cu3O6.98,80.0
Y1Ba2Cu3OX,92.0
Y0.875Lu0.125Ba2Cu3OX,89.7
Y0.75Lu0.25Ba2Cu3OX,88.2
Y0.625Lu0.375Ba2Cu3OX,88.0
Y0.5Lu0.5Ba2Cu3OX,86.7
Y0.375Lu0.625Ba2Cu3OX,86.9
Y0.25Lu0.75Ba2Cu3OX,86.0
Y0.125Lu0.875Ba2Cu3OX,87.9
La1.9Ba0.1Cu1O4,26.9
La1.785Ba0.215Cu1OZ,25.5
La1.9Sr0.1Cu1O3.98,29.5
La1.875Sr0.125Cu1OZ,34.3
La1.85Sr0.15Cu1O3.98,37.9
La1.825Sr0.175Cu1OZ,35.0
La1.8Sr0.2Cu1O3.99,27.5
La1.75Sr0.25Cu1OZ,11.9
La1.9Ca0.1Cu1O3.967,20.0
La1.85Ca0.15Cu1O3.942,19.0
La1.8Ca0.2Cu1O3.917,19.5
Y1Ba2Cu3O6.94,92.5
Y1Ba2Cu3O6.89,92.1
Y1Ba2Cu3O6.84,91.0
Y1Ba2Cu3O6.83,89.3
Y1Ba2Cu3O6.75,92.3
Y1Ba2Cu3O6.7,83.0
Y1Ba2Cu3O6.4,33.0
Y1Ba2Cu2.955Fe0.045O6.89,72.0
Y1Ba2Cu2.9Fe0.1O6.92,48.0
Y1Ba2Cu2.52Al0.48O6.74,68.0
Y1Ba2Cu2.05Al0.95O6.7,63.0
Y1Ba2Cu2.095Al0.095O6.81,83.3
Y1Ba2Cu2.98Zr0.02O6.84,90.2
Y1Ba2Cu2.94Zr0.06O6.81,92.3
Y1Ba2Cu2.98Zr0.2O6.75,89.8
Eu1Ba2Cu3O6.76,77.0
Eu1Ba2Cu3O6.88,94.0
Y1Ba2Cu2.98Fe0.02O6.93,89.0
Y1Ba2Cu2.994Zn0.006O6.63,60.0
Sr0.25La1.75Cu1O4-Y,33.0
Sm0.4Ba0.6Cu1OX,18.0
Eu0.1La1.7Sr0.2Cu1O4,33.0
Y1Ba2Cu3O7-Y,92.3
Y1Ba1.48Sr0.52Cu3O7-Z,95.0
Y1Ba1.48Sr0.52Cu3O7-Z,85.0
Eu1Ba2Cu3OX,93.0
Sm1Ba2Cu3O6.85,92.8
Sm1.05Ba1.95Cu3O6.87,89.75
Sm1.15Ba1.85Cu3O6.95,77.3
Sm1.2Ba1.8Cu3O7.01,56.5
Sm1.28Ba1.72Cu3O7.03,43.6
Sm1.35Ba1.65Cu3O7.07,26.2
Nd1.32Ce0.27Sr0.41Cu1OY,20.0
Y1Ba2Cu3O6.75,89.1
Y1Ba2Cu3O6.72,62.0
Y1Ba2Cu3O6.62,62.0
Er1Ba2Cu3O7-Z,88.0
Bi2Ca1Sr2Cu2O8,88.5
Ba0.65K0.35Bi1O3,23.0
La2Cu1O4.13,28.0
La1.9Sr0.1Cu1O4,26.0
La1.85Sr0.15Cu1O4,39.0
La1.75Sr0.25Cu1O4,30.0
Bi2Sr2Ca1Cu2OX,85.0
Bi2Sr2Ca2Cu3OX,108.0
Tl2Ca1Ba2Cu2OX,106.0
Y1Ba2Cu3O6.8,92.0
Y1Ba2Cu3O7,91.0
Y1Ba2Cu3OX,89.0
Y1Ba2Cu3O7,92.0
Y1Ba2Cu3OX,91.9
Y1Ba2Cu3O7,91.2
Bi2.2Ca1Sr1.9Cu2O8+X,86.5
Bi2Sr1.3Ca0.7Cu1O6.15,84.0
Bi0.8Pb0.2Sb0.05Sr1Ca1Cu2OX,93.0
Bi0.8Pb0.2Sr1Ca1Cu2OZ,108.0
Y1Ba2Cu3OZ,92.0
Y1Ba2Cu2.82Fe0.18OZ,55.0
Y1Ba2Cu2.7Fe0.3OZ,39.0
Bi4.4Sr3.6Ca2Cu4OY,83.6
Pb0.3Bi1.7Sr2Ca2Cu3O10+Z,107.0
Y1Ba2Cu3O6.9,91.0
Y1Ba2Cu3O6.55,89.0
Y1Ba2Cu3OZ,90.0
Ba0.6K0.4Bi1O3,31.5
Y1Ba2Cu3OZ,90.0
Y1Ba2Cu3O7,92.0
Y1Ba2Cu2.85Ag0.15O7,90.0
Y1Ba2Cu3O6.9,90.6
Y1Ba2Cu3O6.82,91.2
Y1Ba2Cu3O6.66,88.9
Y1Ba2Cu3O6.47,43.6
Y1Ba2Cu3O6.46,45.0
Tl1Sr2Ca0.5Sm0.5Cu2O6.75,37.6
Y1Ba2Cu4O8+-Z,82.0
Y1Ba2Cu3O7-Z,91.5
Tl1Ba1.1La0.9Cu1O5,39.6
Tl1Ba1.2La0.8Cu1O5,41.1
Nd1.85Ce0.15Cu1O4-X,21.0
Y1Ba2Cu3O6.86,91.0
Y1Ba2Cu3O6.96,85.0
Tl2Ca2Ba2Cu3OX,120.0
Y1Ba2Cu3OX,91.9
Y1Ba2Cu2.95Ni0.05OX,86.8
Y1Ba2Cu2.9Ni0.1OX,82.9
Y1Ba2Cu2.95Zn0.05OX,72.2
Y1Ba2Cu2.9Zn0.1OX,54.3
Nd1Ba2Cu3OX,93.0
Nd1Ba2Cu2.95Ni0.05OX,85.0
Nd1Ba2Cu2.9Ni0.1OX,70.9
Nd1Ba2Cu2.95Zn0.05OX,65.0
Nd1Ba2Cu2.9Zn0.1OX,36.9
Gd1Ba2Cu3OX,93.4
Gd1Ba2Cu2.95Ni0.05OX,86.2
Gd1Ba2Cu2.9Ni0.1OX,84.5
Gd1Ba2Cu2.95Zn0.05OX,72.5
Gd1Ba2Cu2.9Zn0.1OX,53.6
Dy1Ba2Cu3OX,91.3
Dy1Ba2Cu2.95Ni0.05OX,87.5
Dy1Ba2Cu2.9Ni0.1OX,81.8
Dy1Ba2Cu2.95Zn0.05OX,71.5
Dy1Ba2Cu2.9Zn0.1OX,49.3
Er1Ba2Cu3OX,91.7
Er1Ba2Cu2.95Ni0.05OX,87.8
Er1Ba2Cu2.9Ni0.1OX,83.3
Er1Ba2Cu2.95Zn0.05OX,73.1
Er1Ba2Cu2.9Zn0.1OX,51.8
Bi2Sr1.3Ca0.7Cu1O8-Z,84.0
La1Ba1Ca1Cu3O6.98,76.35
Er1Ba2Cu3O6.15,35.0
Er1Ba2Cu3O6.34,20.0
Er1Ba2Cu3O6.31,55.0
Er1Ba2Cu3O6.67,85.0
Er1Ba2Cu3O6.91,92.0
Ba0.6K0.4Bi1O3,28.9
La1.9Sr0.1Cu1O4,26.2
La1.85Sr0.15Cu1O4,28.6
La1.8Sr0.2Cu1O4,18.9
La1.7Sr0.3Cu1O4,15.2
Y1Ba2Cu3O7-Z,90.0
Y1Ba2Cu3O7-Z,91.7
Y1Ba2Cu3O7-Z,91.0
Y1Ba2Cu3O7-Z,94.0
Y1Ba2Cu3O6.962,92.2
Y1Ba2La1.94Cu3O6.963,91.8
Y1Ba1.92La0.08Cu3O6.965,92.6
Y1Ba1.9La0.1Cu3O6.975,93.9
Y1Ba1.86La0.14Cu3O6.98,89.4
Y1Ba1.8La0.2Cu3O7.013,80.5
Y1Ba1.76La0.24Cu3O7.024,73.4
Y1Ba1.7La0.3Cu3O7.059,61.4
Y1Ba1.66La0.34Cu3O7.073,56.0
Y1Ba1.6La0.4Cu3O7.083,49.4
Y1Ba1.54La0.46Cu3O7.118,44.1
Y1Ba2Cu2.95Co0.05O6.88,91.2
Y1Ba2Cu2.9Co0.1O6.89,55.3
Y1Ba2Cu2.7Co0.3O6.93,16.9
Y1Ba2Cu2.82Fe0.18O7,74.0
Y1Ba2Cu2.64Fe0.36O7,32.0
Bi2Ca1Sr2Cu2O8+Z,81.0
